ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
25220.0,0,0,2011.0,3.26,3.28,3.17,3.13,3.42,3.59,1,2,2,-0.5050759582566083,-0.7360244967558586
96366.0,0,0,2011.0,2.62,2.6,2.34,2.29,3.14,3.44,1,0,0,-2.4475407854220905,-1.5057029886344293
42908.0,0,0,2011.0,2.72,3.13,2.51,2.23,2.84,2.85,1,0,0,-2.38004493835139,-0.6079087124274484
66373.0,0,0,2011.0,4.7,4.3,4.72,4.94,4.95,4.45,0,1,1,3.997737066637376,-1.3766539384103618
50580.0,0,1,2011.0,3.31,3.28,3.14,3.42,3.45,2.97,1,2,2,-0.5623344285725738,-0.5961751066989095
94666.0,0,0,2011.0,4.01,4.0,3.61,3.97,4.52,3.83,0,1,1,1.7663742014510502,-1.3807662671346976
31083.0,0,1,2011.0,2.49,2.89,1.94,2.45,2.84,3.05,1,0,0,-2.8111101069378517,-0.5266424418293377
53806.0,0,1,2011.0,3.21,3.3,2.84,3.45,3.44,3.56,1,2,2,-0.5564551193703828,-0.9509223061031602
87210.0,0,0,2011.0,2.97,2.7,2.65,3.26,3.28,2.97,1,0,0,-1.5851286607998467,-1.0160896778570467
63782.0,0,0,2011.0,4.02,3.43,4.12,4.35,4.34,2.95,0,1,1,1.4982792979314716,-0.5892318187682416
94070.0,0,0,2011.0,3.85,3.47,3.68,3.64,4.43,3.75,0,2,2,1.143137803217387,-1.4154433541458928
44700.0,0,0,2011.0,3.24,2.98,3.05,3.23,3.77,2.77,1,2,2,-0.8374467374554387,-0.3954724056525317
77630.0,0,0,2011.0,2.93,2.87,2.47,3.0,3.32,3.36,1,0,0,-1.5773260733175334,-1.1408631569755383
52334.0,0,1,2011.0,2.84,3.47,2.67,2.13,2.9,2.86,1,0,0,-2.02592975188813,-0.7176137173599729
41007.0,0,0,2011.0,3.66,3.3,4.0,3.32,3.89,3.13,0,2,2,0.4189800170757851,-0.6312026726118843
26773.0,0,0,2011.0,2.92,2.43,2.46,2.81,3.86,2.5,1,0,0,-1.9747660889043837,-0.03766572245702633
76637.0,0,0,2011.0,2.89,2.64,3.06,2.88,2.97,2.85,1,0,0,-1.844033374618771,-0.9711341937360926
66754.0,0,0,2011.0,4.18,3.62,4.46,3.85,4.56,3.93,0,1,1,2.143832983579539,-1.262660243930626
36874.0,0,0,2011.0,4.1,3.47,4.34,4.35,4.37,3.36,0,1,1,1.8747739114822486,-0.5620391266004292
48459.0,0,0,2012.0,3.54,3.71,3.46,3.81,3.23,2.78,0,2,2,0.048259637383658446,0.2080420937407558
69939.0,0,0,2012.0,4.65,4.72,4.52,4.68,4.71,4.44,0,1,1,3.844219424379464,-0.7641222317283846
33742.0,0,0,2012.0,2.51,2.72,1.96,2.61,2.72,2.86,1,0,0,-2.926954419374865,0.21409830149046366
34327.0,0,0,2012.0,3.18,3.17,2.94,3.32,3.33,2.58,1,2,2,-1.075571279900625,0.4653128002808157
77803.0,0,0,2012.0,2.73,3.26,2.62,3.0,2.22,2.89,1,0,0,-2.1506304095685493,-0.35597797667757
79182.0,0,1,2012.0,2.99,3.33,2.76,3.0,2.8,3.26,1,0,0,-1.4056914963700298,-0.5169181476625448
